Nivel de desagregación geográfica,,Pobreza por Consumo,,,Pobreza Extrema por Consumo,,,Pobreza por Necesidades Básicas Insatisfechas,,,Tipología de Katzman,,,,,Desigualdad por consumo (Coeficiente de Gini)
,,Total (Población),No pobre (%),Pobre (%),Total (Población),No Pobre extremo (%),Pobre extremo (%),Total (Población),No Pobre (%),Pobre (%),Total (Población),Pobreza Crónica (%),Pobreza Reciente (%),Pobreza Inercial (%),No Pobres (%),
Área**,Nacional,15855456.2772953,74.1690467517221,25.8309532482792,15855456.2772953,94.261521222516,5.73847877748429,15952441.8409513,64.184412762642,35.8155872373602,15855456.2772953,18.4350915925604,7.39586165571881,17.404994705683,56.7640520460407,0.40771
,Urbano,10728723.3752609,84.4645116295945,15.5354883704062,10728723.3752609,98.0993470599072,1.90065294009295,10803359.7051138,75.6522413902903,24.3477586097098,10728723.3752609,10.0088706308341,5.526617739572,14.3779340983076,70.0865775312867,0.389952
,Rural,5126732.90203477,52.6237084621907,47.3762915378094,5126732.90203477,86.2300960325167,13.7699039674832,5149082.13583782,40.1236045578507,59.8763954421491,5126732.90203477,36.0686597000966,11.3076318377125,23.7397300073369,28.8839784548518,0.353411
Región Natural,Total,15855456.2772953,74.1690467517221,25.8309532482792,15855456.2772953,94.261521222516,5.73847877748429,15952441.8409513,64.184412762642,35.8155872373602,15855456.2772953,18.4350915925604,7.39586165571881,17.404994705683,56.7640520460407,0.40771
,Sierra,7108689.24224988,75.4766711583194,24.5233288416798,7108689.24224988,94.3963835151217,5.6036164848779,7139134.40562667,75.4189942585313,24.5810057414677,7108689.24224988,14.8591835528615,9.66414528881833,9.75391008440785,65.7227610739112,0.420531
,Costa,7885375.5024769,75.2084864438726,24.7915135561269,7885375.5024769,95.8141676492512,4.18583235074858,7948186.01016546,55.9648298227296,44.0351701772689,7885375.5024769,19.6150010738449,5.17651248228197,24.4637037232521,50.7447827206197,0.385119
,Amazonía,833447.934307946,52.3156389173391,47.6843610826603,833447.934307946,78.2290284637377,21.7709715362622,836466.801397299,45.8603789949305,54.1396210050691,833447.934307946,38.3897063956915,9.2946546869688,15.8026791800686,36.5129597372706,0.427158
,Galápagos,27943.5982611164,100,0,27943.5982611164,100,0,28654.6237623762,79.9945228649933,20.0054771350067,27943.5982611164,0,0,19.6974101946826,80.3025898053174,0.295248
Zonas de Planificación,Total,15855456.2772953,74.1690467517221,25.8309532482792,15855456.2772953,94.261521222516,5.73847877748429,15952441.8409513,64.184412762642,35.8155872373602,15855456.2772953,18.4350915925604,7.39586165571881,17.404994705683,56.7640520460407,0.40771
,Zona 1,1401651.56334511,61.593241926376,38.4067580736239,1401651.56334511,88.3860882025761,11.613911797424,1404586.78042916,56.6879140587699,43.3120859412302,1401651.56334511,27.4765787015448,10.9301793720791,15.7753520046528,45.8178899217235,0.38773
,Zona 2,719555.528646063,67.8791630289491,32.1208369710501,719555.528646063,88.3308110956712,11.6691889043287,721874.894914284,65.8868641444513,34.113135855548,719555.528646063,22.0795927508131,10.041244220237,12.0829989040901,55.796164124859,0.4523925
,Zona 3,1590009.78637808,58.6228052401627,41.3771947598384,1590009.78637808,87.3271417680841,12.6728582319156,1592071,62.6047597470521,37.3952402529492,1590009.78637808,27.0161323776473,14.3610623821909,10.3781655075228,48.2446397326399,0.4134546
,Zona 4,1876806.00546405,69.963910054176,30.0360899458241,1876806.00546405,94.3521563552299,*,1890221.35540856,47.4553730185279,52.5446269814724,1876806.00546405,24.7540085888613,5.28208135696287,27.8420705917344,42.1218394624417,0.3724692
,Zona 5,2590448.4385003,68.8533723791013,31.1466276208954,2590448.4385003,94.4898752405319,5.51012475946689,2613039.28032403,47.3219711278696,52.6780288721277,2590448.4385003,24.5833732767445,6.56325434415082,28.0901419960108,40.7632303830911,0.3813225
,Zona 6,1214935.79840344,72.0386382905024,27.9613617094976,1214935.79840344,92.5836824487257,7.41631755127424,1217353.82951253,72.0891251576378,27.9108748423622,1214935.79840344,18.1493395534931,9.81202215600434,9.78926081887268,62.2493774716297,0.4064525
,Zona 7,1248878.41153861,73.6300236310201,26.3699763689798,1248878.41153861,95.7381935099082,*,1255036,66.6812043746436,33.3187956253564,1248878.41153861,17.5151744506478,8.85480191833203,15.7635191587297,57.8665044722905,0.3688997
,Zona 8,2806619.39306392,86.2255618707133,13.7744381292865,2806619.39306392,98.680939566328,*,2832540.99819519,68.6087462610684,31.3912537389316,2806619.39306392,*,*,21.0095140695657,65.2160478011478,0.3770068
,Zona 9,2406551.3519561,89.9414648630635,10.0585351369363,2406551.3519561,98.648516527527,*,2425717.70216788,89.8307421001535,10.1692578998463,2406551.3519561,*,*,*,84.5018008383778,0.3990522
Provincias,Total,15855456.2772953,74.1690467517221,25.8309532482792,15855456.2772953,94.261521222516,5.73847877748429,15952441.8409513,64.184412762642,35.8155872373602,15855456.2772953,18.4350915925604,7.39586165571881,17.404994705683,56.7640520460407,0.40771
,Azuay,792884.378948067,79.0622233756816,20.9377766243187,792884.378948067,96.9665274046257,3.03347259537429,794374.999999996,78.3207782485263,21.679221751474,792884.378948067,12.0480013648702,*,9.65659815262883,69.4056252230529,0.391678
,Bolivar,198512.515145985,56.6618786329705,43.3381213670293,198512.515145985,84.1597778183062,15.8402221816938,199315,54.9496275287529,45.050372471247,198512.515145985,29.3431128940145,*,*,40.9220197207423,0.38767
,Cañar,252337.023641013,70.6155278119346,29.3844721880653,252337.023641013,94.9767033603209,5.02329663967902,252973.829512531,71.4711050218385,28.5288949781614,252337.023641013,*,*,*,59.9252848456092,0.37676
,Carchi,177659.46502082,67.3525168858318,32.6474831141679,177659.46502082,91.464278027921,8.5357219720791,177985.000000001,75.4884077471355,24.5115922528642,177659.46502082,*,*,*,58.4594684154181,0.363455
,Cotopaxi,448789.88850372,54.8519254281441,45.148074571856,448789.88850372,86.707446266009,13.2925537339911,449828.999999999,58.9886323235022,41.011367676498,448789.88850372,28.8596111660781,*,*,42.7803012243679,0.395936
,Chimborazo,495910.000000002,46.5001281726063,53.4998718273934,495910.000000002,81.3010397403888,18.6989602596111,495910.000000002,54.3657128874242,45.6342871125755,495910.000000002,35.6296402300381,*,*,36.4954812900689,0.403234
,El Oro,656279.452044269,79.7965913513406,20.2034086486592,656279.452044269,98.4937426232351,*,661126.000000002,69.9914303934713,30.0085696065287,656279.452044269,12.5500704180312,*,17.4145844047519,62.3820069465889,0.339937
,Esmeraldas,588202.794923861,56.8189715268807,43.1810284731198,588202.794923861,86.4083468524614,13.5916531475387,588904.999999997,43.7450032351551,56.2549967648454,588202.794923861,35.3181245547361,*,20.9142377992798,35.904733727601,0.369465
,Guayas,3979014.97622239,81.9110342422498,18.08896575775,3979014.97622239,97.7925305609271,2.20746943907286,4016720.65475678,62.0597342045309,37.9402657954694,3979014.97622239,14.1286949188798,*,23.8883785051091,58.022655737141,0.387622
,Imbabura,436756.66565158,67.607575214044,32.3924247859556,436756.66565158,91.5747787769306,8.42522122306934,437801.000000002,73.9909968154789,26.0090031845209,436756.66565158,18.2120499397043,*,*,59.9557512977816,0.406538
,Loja,488526.106220853,68.6791757540226,31.3208242459773,488526.106220853,93.0441198926774,6.95588010732263,489112,63.9268598451187,36.0731401548812,488526.106220853,22.0619005744886,*,*,54.7144454521978,0.400616
,Los Rios,844312.406100425,66.6860794656032,33.3139205343967,844312.406100425,93.8392239943509,6.16077600564903,851643.000000001,43.3348696140253,56.6651303859745,844312.406100425,27.062258705542,*,29.6406472912733,37.04543217433,0.352381
,Manabi,1470281.53735158,68.6509486055004,31.3490513944999,1470281.53735158,93.7478821704876,6.25211782951231,1480544.35540856,45.9542557013995,54.045744298601,1470281.53735158,26.098884582011,*,27.9661026526562,40.684845952844,0.371465
,Morona Santiago,169714.395814354,41.3412574891953,58.6587425108051,169714.395814354,68.5495570249232,31.4504429750771,170004.999999999,43.8903868640265,56.1096131359739,169714.395814354,47.0945118831859,*,*,32.2718236309129,0.452774
,Napo,116520.331854024,45.8473068038951,54.1526931961049,116520.331854024,67.1989625077127,32.8010374922873,116978.02096813,48.6292549517963,51.3707450482037,116520.331854024,41.3089260004789,*,*,35.6441670343133,0.481073
,Pastaza,96404.4189883727,55.3285673083465,44.6714326916535,96404.4189883727,78.5097177228504,21.4902822771496,96633.0000000001,51.9057307451427,48.0942692548572,96404.4189883727,37.074678446814,*,*,44.1949419276651,0.449607
,Pichincha,2861883.25211927,87.8761118523548,12.1238881476451,2861883.25211927,98.2749006707881,1.72509932921181,2882457.57611402,88.0366371951305,11.9633628048694,2861883.25211927,*,*,*,81.7435705633175,0.406191
,Tungurahua,548905.478885994,73.2367395464368,26.7632604535629,548905.478885994,94.8267134288494,5.17328657115039,549699.000000003,74.8775562784379,25.1224437215618,548905.478885994,*,*,*,64.0383858885169,0.392891
,Zamora Chinchipe,104072.853273485,57.9835490949042,42.0164509050955,104072.853273485,91.0079977615167,8.99200223848321,104798,58.653441197878,41.3465588021217,104072.853273485,27.4822437862984,*,*,44.1879290792226,0.361383
,Galápagos,27943.5982611164,100,0,27943.5982611164,100,0,28654.6237623762,*,*,27943.5982611164,*,*,*,80.3025898053174,0.295248
,Sucumbios,199032.63774885,57.3640326978859,42.6359673021142,199032.63774885,84.4860322134741,15.5139677865259,199895.780429166,40.1824735865941,59.8175264134061,199032.63774885,35.2659468776402,*,*,32.8061793015382,0.377892
,Orellana,147703.296628858,57.2652399675371,42.7347600324628,147703.296628858,80.4335909729758,19.5664090270242,148157,40.6033368494624,59.3966631505373,147703.296628858,38.8378759226008,*,*,36.6446505396717,0.433431
,Santo Domingo de los Tsachilas,406524.468112464,74.7125122384567,25.2874877615433,406524.468112464,96.5376414785483,*,409677.000000001,52.8803072244521,47.119692775548,406524.468112464,19.889980718813,*,27.3934824660063,47.3190297724504,0.370097
,Santa Elena,347284.335834233,69.3721960997879,30.6278039002119,347284.335834233,97.5635562292822,*,349247.000000001,53.1552267058508,46.8447732941489,347284.335834233,23.6724712391336,*,22.9743058171722,46.3978902826156,0.34042
